[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
[ ]  417    0    0   42 / 1000    24.6s test_prop_MultiPreserve (collecting)
[ ]  478    0    0   49 / 1000    26.7s test_prop_MultiPreserve (collecting)
[ ]  487    0    0   50 / 1000    26.9s test_prop_MultiPreserve (collecting)
[ ]  494    0    0   51 / 1000    29.2s test_prop_MultiPreserve (collecting)
[ ]  504    0    0   51 / 1000    30.0s test_prop_MultiPreserve (collecting)
[ ]  519    0    0   53 / 1000    30.7s test_prop_MultiPreserve (collecting)
[ ]  536    0    0   55 / 1000    31.6s test_prop_MultiPreserve (collecting)
[ ]  544    0    0   56 / 1000    31.8s test_prop_MultiPreserve (collecting)
[ ]  553    0    0   56 / 1000    31.9s test_prop_MultiPreserve (collecting)
[ ]  586    0    0   58 / 1000    32.0s test_prop_MultiPreserve (collecting)
[ ]  624    0    0   61 / 1000    32.7s test_prop_MultiPreserve (collecting)
[ ]  630    0    0   62 / 1000    35.2s test_prop_MultiPreserve (collecting)
[ ]  634    0    0   62 / 1000    35.9s test_prop_MultiPreserve (collecting)
[ ]  640    0    0   62 / 1000    36.9s test_prop_MultiPreserve (collecting)
[ ]  658    0    0   65 / 1000    37.0s test_prop_MultiPreserve (collecting)
[ ]  696    0    0   70 / 1000    37.9s test_prop_MultiPreserve (collecting)
[ ]  702    0    0   72 / 1000    38.8s test_prop_MultiPreserve (collecting)
[ ]  735    0    0   75 / 1000    38.9s test_prop_MultiPreserve (collecting)
[ ]  776    0    0   79 / 1000    39.0s test_prop_MultiPreserve (collecting)
[ ]  777    0    0   79 / 1000    39.7s test_prop_MultiPreserve (collecting)
[ ]  781    0    0   80 / 1000    40.4s test_prop_MultiPreserve (collecting)
[ ]  813    0    0   83 / 1000    42.6s test_prop_MultiPreserve (collecting)
[ ]  820    0    0   84 / 1000    43.0s test_prop_MultiPreserve (collecting)
[ ]  821    0    0   84 / 1000    43.6s test_prop_MultiPreserve (collecting)
[ ]  849    0    0   91 / 1000    44.6s test_prop_MultiPreserve (collecting)
[ ]  850    0    0   91 / 1000    44.7s test_prop_MultiPreserve (collecting)
[ ]  885    0    0   96 / 1000    45.7s test_prop_MultiPreserve (collecting)
[ ]  909    0    0   97 / 1000    48.0s test_prop_MultiPreserve (collecting)
[ ]  928    0    0   99 / 1000    50.4s test_prop_MultiPreserve (collecting)
[ ]  931    0    0   99 / 1000    50.9s test_prop_MultiPreserve (collecting)
[ ]  983    0    0  102 / 1000    51.0s test_prop_MultiPreserve (collecting)
[ ] 1011    0    0  105 / 1000    53.4s test_prop_MultiPreserve (collecting)
[ ] 1023    0    0  106 / 1000    53.6s test_prop_MultiPreserve (collecting)
[ ] 1051    0    0  107 / 1000    54.7s test_prop_MultiPreserve (collecting)
[ ] 1088    0    0  109 / 1000    54.8s test_prop_MultiPreserve (collecting)
[ ] 1097    0    0  109 / 1000    55.7s test_prop_MultiPreserve (collecting)
[ ] 1102    0    0  110 / 1000    55.8s test_prop_MultiPreserve (collecting)
[ ] 1112    0    0  112 / 1000    55.9s test_prop_MultiPreserve (collecting)
[ ] 1134    0    0  113 / 1000    56.0s test_prop_MultiPreserve (collecting)
[ ] 1140    0    0  114 / 1000    56.8s test_prop_MultiPreserve (collecting)
[ ] 1152    0    0  114 / 1000    57.4s test_prop_MultiPreserve (collecting)
[ ] 1166    0    0  115 / 1000    57.7s test_prop_MultiPreserve (collecting)
[✓] 1200    0    0  120 / 1000    57.8s test_prop_MultiPreserve
================================================================================
success (ran 1 tests)
|prop_MultiPreserve -> 57628.44]
[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve (generating)
[ ]   17    0    0    0 / 1000     0.9s test_prop_MultiPreserve (collecting)
[ ]   25    0    0    0 / 1000     1.6s test_prop_MultiPreserve (collecting)
[ ]   36    0    0    0 / 1000     4.0s test_prop_MultiPreserve (collecting)
[ ]   43    0    0    0 / 1000     4.5s test_prop_MultiPreserve (collecting)
[ ]   45    0    0    0 / 1000     5.5s test_prop_MultiPreserve (collecting)
[ ]   72    0    0    3 / 1000     6.3s test_prop_MultiPreserve (collecting)
[ ]   83    0    0    4 / 1000     6.5s test_prop_MultiPreserve (collecting)
[ ]  141    0    0   10 / 1000     7.4s test_prop_MultiPreserve (collecting)
[ ]  169    0    0   12 / 1000     7.5s test_prop_MultiPreserve (collecting)
[ ]  171    0    0   12 / 1000     7.7s test_prop_MultiPreserve (collecting)
[ ]  193    0    0   13 / 1000     7.8s test_prop_MultiPreserve (collecting)
[ ]  223    0    0   14 / 1000    10.1s test_prop_MultiPreserve (collecting)
[ ]  227    0    0   14 / 1000    10.3s test_prop_MultiPreserve (collecting)
[ ]  236    0    0   16 / 1000    10.5s test_prop_MultiPreserve (collecting)
[ ]  245    0    0   17 / 1000    10.6s test_prop_MultiPreserve (collecting)
[ ]  268    0    0   17 / 1000    10.7s test_prop_MultiPreserve (collecting)
[ ]  270    0    0   18 / 1000    11.4s test_prop_MultiPreserve (collecting)
[ ]  336    0    0   24 / 1000    11.5s test_prop_MultiPreserve (collecting)
[ ]  347    0    0   25 / 1000    12.3s test_prop_MultiPreserve (collecting)
[ ]  367    0    0   27 / 1000    12.4s test_prop_MultiPreserve (collecting)
[ ]  407    0    0   29 / 1000    12.5s test_prop_MultiPreserve (collecting)
[ ]  421    0    0   31 / 1000    13.3s test_prop_MultiPreserve (collecting)
[ ]  446    0    0   35 / 1000    13.5s test_prop_MultiPreserve (collecting)
[ ]  456    0    0   36 / 1000    14.2s test_prop_MultiPreserve (collecting)
[ ]  464    0    0   37 / 1000    14.5s test_prop_MultiPreserve (collecting)
[ ]  484    0    0   38 / 1000    16.7s test_prop_MultiPreserve (collecting)
[ ]  495    0    0   39 / 1000    16.8s test_prop_MultiPreserve (collecting)
[ ]  512    0    0   42 / 1000    16.9s test_prop_MultiPreserve (collecting)
[ ]  517    0    0   42 / 1000    17.2s test_prop_MultiPreserve (collecting)
[ ]  518    0    0   42 / 1000    19.3s test_prop_MultiPreserve (collecting)
[ ]  562    0    0   45 / 1000    19.4s test_prop_MultiPreserve (collecting)
[ ]  614    0    0   51 / 1000    19.5s test_prop_MultiPreserve (collecting)
[ ]  620    0    0   51 / 1000    20.3s test_prop_MultiPreserve (collecting)
[ ]  635    0    0   52 / 1000    20.5s test_prop_MultiPreserve (collecting)
[ ]  659    0    0   54 / 1000    20.6s test_prop_MultiPreserve (collecting)
[ ]  688    0    0   56 / 1000    20.8s test_prop_MultiPreserve (collecting)
[ ]  696    0    0   56 / 1000    21.5s test_prop_MultiPreserve (collecting)
[ ]  699    0    0   56 / 1000    22.2s test_prop_MultiPreserve (collecting)
[ ]  713    0    0   56 / 1000    23.0s test_prop_MultiPreserve (collecting)
[ ]  719    0    0   56 / 1000    23.9s test_prop_MultiPreserve (collecting)
[ ]  730    0    0   56 / 1000    24.1s test_prop_MultiPreserve (collecting)
[ ]  747    0    0   58 / 1000    26.5s test_prop_MultiPreserve (collecting)
[ ]  771    0    0   62 / 1000    27.1s test_prop_MultiPreserve (collecting)
[ ]  772    0    0   62 / 1000    28.2s test_prop_MultiPreserve (collecting)
[ ]  813    0    0   65 / 1000    28.8s test_prop_MultiPreserve (collecting)
[ ]  842    0    0   67 / 1000    29.0s test_prop_MultiPreserve (collecting)
[ ]  879    0    0   70 / 1000    29.1s test_prop_MultiPreserve (collecting)
[ ]  909    0    0   72 / 1000    29.8s test_prop_MultiPreserve (collecting)
[ ]  941    0    0   74 / 1000    30.6s test_prop_MultiPreserve (collecting)
[ ]  949    0    0   74 / 1000    32.9s test_prop_MultiPreserve (collecting)
[ ]  954    0    0   74 / 1000    33.1s test_prop_MultiPreserve (collecting)
[ ]  967    0    0   75 / 1000    33.2s test_prop_MultiPreserve (collecting)
[ ]  977    0    0   76 / 1000    33.3s test_prop_MultiPreserve (collecting)
[ ] 1017    0    0   80 / 1000    34.1s test_prop_MultiPreserve (collecting)
[ ] 1076    0    0   83 / 1000    34.2s test_prop_MultiPreserve (collecting)
[ ] 1092    0    0   87 / 1000    34.5s test_prop_MultiPreserve (collecting)
[ ] 1093    0    0   87 / 1000    35.3s test_prop_MultiPreserve (collecting)
[ ] 1107    0    0   87 / 1000    36.1s test_prop_MultiPreserve (collecting)
[ ] 1119    0    0   89 / 1000    36.3s test_prop_MultiPreserve (collecting)
[ ] 1137    0    0   92 / 1000    37.1s test_prop_MultiPreserve (collecting)
[ ] 1179    0    0   95 / 1000    37.2s test_prop_MultiPreserve (collecting)
[ ] 1190    0    0   95 / 1000    37.3s test_prop_MultiPreserve (collecting)
[ ] 1194    0    0   95 / 1000    37.5s test_prop_MultiPreserve (collecting)
[✓] 1200    0    0   96 / 1000    37.6s test_prop_MultiPreserve
================================================================================
success (ran 1 tests)
|prop_MultiPreserve -> 37621.51]
[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve (generating)
[ ]    3    0    0    0 / 1000     2.5s test_prop_MultiPreserve (collecting)
[ ]   19    0    0    0 / 1000     3.0s test_prop_MultiPreserve (collecting)
[ ]   69    0    0    8 / 1000     3.2s test_prop_MultiPreserve (collecting)
[ ]   79    0    0    8 / 1000     5.4s test_prop_MultiPreserve (collecting)
[ ]   83    0    0    8 / 1000     5.6s test_prop_MultiPreserve (collecting)
[ ]  101    0    0   11 / 1000     5.7s test_prop_MultiPreserve (collecting)
[ ]  119    0    0   13 / 1000     8.3s test_prop_MultiPreserve (collecting)
[ ]  146    0    0   13 / 1000     8.9s test_prop_MultiPreserve (collecting)
[ ]  166    0    0   14 / 1000     9.0s test_prop_MultiPreserve (collecting)
[ ]  194    0    0   15 / 1000     9.5s test_prop_MultiPreserve (collecting)
[ ]  206    0    0   15 / 1000    11.7s test_prop_MultiPreserve (collecting)
[ ]  210    0    0   15 / 1000    12.5s test_prop_MultiPreserve (collecting)
[ ]  232    0    0   17 / 1000    12.6s test_prop_MultiPreserve (collecting)
[ ]  242    0    0   18 / 1000    14.8s test_prop_MultiPreserve (collecting)
[ ]  318    0    0   25 / 1000    14.9s test_prop_MultiPreserve (collecting)
[ ]  351    0    0   27 / 1000    15.9s test_prop_MultiPreserve (collecting)
[ ]  359    0    0   27 / 1000    18.3s test_prop_MultiPreserve (collecting)
[ ]  375    0    0   27 / 1000    18.4s test_prop_MultiPreserve (collecting)
[ ]  401    0    0   28 / 1000    19.5s test_prop_MultiPreserve (collecting)
[ ]  405    0    0   28 / 1000    21.7s test_prop_MultiPreserve (collecting)
[ ]  410    0    0   29 / 1000    22.2s test_prop_MultiPreserve (collecting)
[ ]  452    0    0   38 / 1000    22.4s test_prop_MultiPreserve (collecting)
[ ]  454    0    0   38 / 1000    23.2s test_prop_MultiPreserve (collecting)
[ ]  459    0    0   38 / 1000    23.9s test_prop_MultiPreserve (collecting)
[ ]  468    0    0   39 / 1000    24.0s test_prop_MultiPreserve (collecting)
[ ]  469    0    0   39 / 1000    24.2s test_prop_MultiPreserve (collecting)
[ ]  475    0    0   39 / 1000    25.0s test_prop_MultiPreserve (collecting)
[ ]  498    0    0   40 / 1000    26.0s test_prop_MultiPreserve (collecting)
[ ]  557    0    0   43 / 1000    26.1s test_prop_MultiPreserve (collecting)
[ ]  576    0    0   46 / 1000    26.9s test_prop_MultiPreserve (collecting)
[ ]  581    0    0   47 / 1000    29.3s test_prop_MultiPreserve (collecting)
[ ]  589    0    0   47 / 1000    30.0s test_prop_MultiPreserve (collecting)
[ ]  591    0    0   47 / 1000    32.2s test_prop_MultiPreserve (collecting)
[ ]  611    0    0   47 / 1000    32.3s test_prop_MultiPreserve (collecting)
[ ]  618    0    0   47 / 1000    32.4s test_prop_MultiPreserve (collecting)
[ ]  625    0    0   47 / 1000    32.7s test_prop_MultiPreserve (collecting)
[ ]  633    0    0   48 / 1000    35.0s test_prop_MultiPreserve (collecting)
[ ]  672    0    0   51 / 1000    35.1s test_prop_MultiPreserve (collecting)
[ ]  677    0    0   51 / 1000    37.8s test_prop_MultiPreserve (collecting)
[ ]  716    0    0   53 / 1000    40.1s test_prop_MultiPreserve (collecting)
[ ]  722    0    0   53 / 1000    42.2s test_prop_MultiPreserve (collecting)
[ ]  739    0    0   53 / 1000    42.3s test_prop_MultiPreserve (collecting)
[ ]  741    0    0   53 / 1000    45.1s test_prop_MultiPreserve (collecting)
[ ]  778    0    0   54 / 1000    46.0s test_prop_MultiPreserve (collecting)
[ ]  806    0    0   54 / 1000    46.2s test_prop_MultiPreserve (collecting)
[ ]  811    0    0   54 / 1000    46.9s test_prop_MultiPreserve (collecting)
[ ]  817    0    0   55 / 1000    49.1s test_prop_MultiPreserve (collecting)
[ ]  824    0    0   55 / 1000    49.3s test_prop_MultiPreserve (collecting)
[ ]  879    0    0   59 / 1000    49.4s test_prop_MultiPreserve (collecting)
[ ]  913    0    0   61 / 1000    49.6s test_prop_MultiPreserve (collecting)
[ ]  928    0    0   62 / 1000    50.1s test_prop_MultiPreserve (collecting)
[ ]  939    0    0   62 / 1000    50.8s test_prop_MultiPreserve (collecting)
[ ]  940    0    0   62 / 1000    51.6s test_prop_MultiPreserve (collecting)
[ ]  950    0    0   64 / 1000    53.8s test_prop_MultiPreserve (collecting)
[ ]  970    0    0   70 / 1000    54.7s test_prop_MultiPreserve (collecting)
[ ]  973    0    0   70 / 1000    54.8s test_prop_MultiPreserve (collecting)
[ ] 1017    0    0   76 / 1000    55.0s test_prop_MultiPreserve (collecting)
[ ] 1021    0    0   76 / 1000    55.9s test_prop_MultiPreserve (collecting)
[ ] 1026    0    0   76 / 1000    58.5s test_prop_MultiPreserve (collecting)
[ ] 1048    0    0   76 / 1000    59.0s test_prop_MultiPreserve (collecting)
[ ] 1057    0    0   76 / 1000    59.9s test_prop_MultiPreserve (collecting)
[ ] 1078    0    0   76 / 1000    60.8s test_prop_MultiPreserve (collecting)
[ ] 1080    0    0   76 / 1000    63.0s test_prop_MultiPreserve (collecting)
[ ] 1083    0    0   77 / 1000    63.5s test_prop_MultiPreserve (collecting)
[ ] 1088    0    0   77 / 1000    64.0s test_prop_MultiPreserve (collecting)
[ ] 1145    0    0   83 / 1000    65.0s test_prop_MultiPreserve (collecting)
[ ] 1169    0    0   84 / 1000    65.1s test_prop_MultiPreserve (collecting)
[ ] 1177    0    0   84 / 1000    65.2s test_prop_MultiPreserve (collecting)
[ ] 1187    0    0   88 / 1000    66.0s test_prop_MultiPreserve (collecting)
[✓] 1200    0    0   89 / 1000    66.0s test_prop_MultiPreserve
================================================================================
success (ran 1 tests)
|prop_MultiPreserve -> 65963.40]
[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve (generating)
[ ]   19    0    0    3 / 1000     0.1s test_prop_MultiPreserve (collecting)
[ ]   41    0    0    5 / 1000     2.4s test_prop_MultiPreserve (collecting)
[ ]   58    0    0    6 / 1000     3.2s test_prop_MultiPreserve (collecting)
[ ]  110    0    0    9 / 1000     3.3s test_prop_MultiPreserve (collecting)
[ ]  136    0    0   12 / 1000     3.4s test_prop_MultiPreserve (collecting)
[ ]  160    0    0   13 / 1000     4.2s test_prop_MultiPreserve (collecting)
[ ]  178    0    0   13 / 1000     5.0s test_prop_MultiPreserve (collecting)
[ ]  182    0    0   13 / 1000     5.8s test_prop_MultiPreserve (collecting)
[ ]  204    0    0   16 / 1000     8.3s test_prop_MultiPreserve (collecting)
[ ]  244    0    0   18 / 1000     8.8s test_prop_MultiPreserve (collecting)
[ ]  258    0    0   18 / 1000     9.8s test_prop_MultiPreserve (collecting)
[ ]  271    0    0   20 / 1000    10.0s test_prop_MultiPreserve (collecting)
[ ]  297    0    0   23 / 1000    10.8s test_prop_MultiPreserve (collecting)
[ ]  304    0    0   23 / 1000    11.5s test_prop_MultiPreserve (collecting)
[ ]  305    0    0   23 / 1000    12.4s test_prop_MultiPreserve (collecting)
[ ]  313    0    0   23 / 1000    13.0s test_prop_MultiPreserve (collecting)
[ ]  356    0    0   26 / 1000    13.9s test_prop_MultiPreserve (collecting)
[ ]  379    0    0   30 / 1000    14.0s test_prop_MultiPreserve (collecting)
[ ]  389    0    0   31 / 1000    14.8s test_prop_MultiPreserve (collecting)
[ ]  413    0    0   31 / 1000    15.5s test_prop_MultiPreserve (collecting)
[ ]  433    0    0   33 / 1000    15.6s test_prop_MultiPreserve (collecting)
[ ]  481    0    0   37 / 1000    15.7s test_prop_MultiPreserve (collecting)
[ ]  510    0    0   41 / 1000    15.8s test_prop_MultiPreserve (collecting)
[ ]  534    0    0   46 / 1000    18.0s test_prop_MultiPreserve (collecting)
[ ]  555    0    0   47 / 1000    18.9s test_prop_MultiPreserve (collecting)
[ ]  565    0    0   48 / 1000    21.0s test_prop_MultiPreserve (collecting)
[ ]  584    0    0   51 / 1000    21.1s test_prop_MultiPreserve (collecting)
[ ]  594    0    0   51 / 1000    21.2s test_prop_MultiPreserve (collecting)
[ ]  604    0    0   51 / 1000    21.8s test_prop_MultiPreserve (collecting)
[ ]  630    0    0   51 / 1000    21.9s test_prop_MultiPreserve (collecting)
[ ]  675    0    0   56 / 1000    22.1s test_prop_MultiPreserve (collecting)
[ ]  689    0    0   57 / 1000    22.5s test_prop_MultiPreserve (collecting)
[ ]  701    0    0   58 / 1000    22.8s test_prop_MultiPreserve (collecting)
[ ]  711    0    0   59 / 1000    22.9s test_prop_MultiPreserve (collecting)
[ ]  719    0    0   59 / 1000    23.1s test_prop_MultiPreserve (collecting)
[ ]  733    0    0   59 / 1000    23.9s test_prop_MultiPreserve (collecting)
[ ]  753    0    0   63 / 1000    24.1s test_prop_MultiPreserve (collecting)
[ ]  774    0    0   65 / 1000    24.8s test_prop_MultiPreserve (collecting)
[ ]  797    0    0   67 / 1000    25.0s test_prop_MultiPreserve (collecting)
[ ]  802    0    0   67 / 1000    25.7s test_prop_MultiPreserve (collecting)
[ ]  807    0    0   68 / 1000    26.3s test_prop_MultiPreserve (collecting)
[ ]  838    0    0   70 / 1000    28.6s test_prop_MultiPreserve (collecting)
[ ]  850    0    0   71 / 1000    28.8s test_prop_MultiPreserve (collecting)
[ ]  851    0    0   71 / 1000    28.9s test_prop_MultiPreserve (collecting)
[ ]  852    0    0   71 / 1000    29.4s test_prop_MultiPreserve (collecting)
[ ]  894    0    0   75 / 1000    29.6s test_prop_MultiPreserve (collecting)
[ ]  895    0    0   75 / 1000    30.4s test_prop_MultiPreserve (collecting)
[ ]  914    0    0   76 / 1000    30.5s test_prop_MultiPreserve (collecting)
[ ]  943    0    0   80 / 1000    30.6s test_prop_MultiPreserve (collecting)
[ ]  944    0    0   80 / 1000    31.4s test_prop_MultiPreserve (collecting)
[ ]  956    0    0   82 / 1000    32.1s test_prop_MultiPreserve (collecting)
[ ]  993    0    0   87 / 1000    32.3s test_prop_MultiPreserve (collecting)
[ ] 1043    0    0   87 / 1000    32.4s test_prop_MultiPreserve (collecting)
[ ] 1050    0    0   87 / 1000    32.5s test_prop_MultiPreserve (collecting)
[ ] 1076    0    0   91 / 1000    32.6s test_prop_MultiPreserve (collecting)
[ ] 1093    0    0   91 / 1000    32.9s test_prop_MultiPreserve (collecting)
[ ] 1094    0    0   91 / 1000    33.7s test_prop_MultiPreserve (collecting)
[ ] 1102    0    0   91 / 1000    33.8s test_prop_MultiPreserve (collecting)
